order,x,y,w,h,yolo_confidence,crop_original_shape,crop_final_shape,dtype,min,max,mean,classifier_class,classifier_confidence,became_unknown,valid_segment,max_iou_with_later_box,visual_observation
1,1309,182,35,46,0.9216622114181519,"[50, 39, 3]","[28, 28]",uint8,0,255,63.017857142857146,?,0.44104647636413574,True,True,0.0,possivelmente_cortado
2,1314,233,24,43,0.8956407308578491,"[47, 28, 3]","[28, 28]",uint8,0,255,45.60204081632653,な,0.9224211573600769,False,True,0.0,possivelmente_cortado
3,1311,284,38,41,0.8850350975990295,"[45, 42, 3]","[28, 28]",uint8,0,255,86.12882653061224,?,0.40819138288497925,True,True,0.0,possivelmente_cortado
4,1309,331,35,85,0.8698298931121826,"[89, 39, 3]","[28, 28]",uint8,0,255,36.48086734693877,?,0.23119677603244781,True,True,0.0,possivelmente_cortado
5,1315,427,32,37,0.9237990379333496,"[41, 36, 3]","[28, 28]",uint8,0,255,86.33928571428571,?,0.26386401057243347,True,True,0.0,possivelmente_cortado
6,1318,472,23,35,0.76835697889328,"[39, 27, 3]","[28, 28]",uint8,0,255,54.37755102040816,ま,0.9949278831481934,False,True,0.0,possivelmente_cortado
7,1324,517,25,46,0.8974980115890503,"[50, 29, 3]","[28, 28]",uint8,0,255,61.817602040816325,?,0.38192373514175415,True,True,0.0,possivelmente_cortado
8,1318,563,24,22,0.6861354112625122,"[26, 28, 3]","[28, 28]",uint8,0,255,60.858418367346935,て,0.874172568321228,False,True,0.0,possivelmente_cortado
9,1323,616,20,38,0.7636557817459106,"[42, 24, 3]","[28, 28]",uint8,0,255,47.91581632653061,り,0.9685064554214478,False,True,0.0,possivelmente_cortado
10,1325,661,14,30,0.7525128126144409,"[34, 18, 3]","[28, 28]",uint8,0,255,44.036989795918366,よ,0.994383692741394,False,True,0.0,possivelmente_cortado
11,1324,698,23,53,0.8069263696670532,"[57, 27, 3]","[28, 28]",uint8,0,255,34.275510204081634,た,0.9997028708457947,False,True,0.0,possivelmente_cortado
12,1324,757,21,46,0.8823484778404236,"[50, 25, 3]","[28, 28]",uint8,0,255,45.10204081632653,き,0.9962279796600342,False,True,0.0,possivelmente_cortado
13,1310,810,44,30,0.8750749230384827,"[34, 48, 3]","[28, 28]",uint8,0,255,64.45918367346938,に,0.9484889507293701,False,True,0.0,possivelmente_cortado
14,1317,856,29,37,0.8206381797790527,"[41, 33, 3]","[28, 28]",uint8,0,255,77.65688775510205,ま,0.5036062002182007,False,True,0.0,possivelmente_cortado
15,1249,181,40,49,0.8474117517471313,"[53, 44, 3]","[28, 28]",uint8,0,255,79.31505102040816,?,0.2182600349187851,True,True,0.0,possivelmente_cortado
16,1267,238,13,40,0.8464388251304626,"[44, 17, 3]","[28, 28]",uint8,0,255,33.140306122448976,と,0.9976638555526733,False,True,0.0,possivelmente_cortado
17,1250,280,37,44,0.9241457581520081,"[48, 41, 3]","[28, 28]",uint8,0,255,79.8686224489796,あ,0.6273492574691772,False,True,0.0,possivelmente_cortado
18,1254,327,28,46,0.8656411170959473,"[50, 32, 3]","[28, 28]",uint8,0,255,54.37244897959184,?,0.49681028723716736,True,True,0.0,possivelmente_cortado
19,1263,382,16,37,0.7489007711410522,"[41, 20, 3]","[28, 28]",uint8,0,255,35.05102040816327,る,0.9981198906898499,False,True,0.0,possivelmente_cortado
20,1252,422,34,43,0.9200004935264587,"[47, 38, 3]","[28, 28]",uint8,0,255,65.67219387755102,さ,0.6531475186347961,False,True,0.0,possivelmente_cortado
21,1257,469,27,43,0.8888156414031982,"[47, 31, 3]","[28, 28]",uint8,0,255,50.94897959183673,け,0.5210618376731873,False,True,0.0,possivelmente_cortado
22,1258,518,26,44,0.9005406498908997,"[48, 30, 3]","[28, 28]",uint8,0,255,43.859693877551024,も,0.6130205988883972,False,True,0.0,possivelmente_cortado
23,1254,574,40,25,0.9001592397689819,"[29, 44, 3]","[28, 28]",uint8,0,255,63.80484693877551,?,0.16006043553352356,True,True,0.0,possivelmente_cortado
